SpeciesName,substratum
"Patella vulgata",Pebbles
"Patella vulgata",Rockpools
"Patella vulgata","Crevices / fissures"
"Patella vulgata",Overhangs
"Patella vulgata","Artificial (e.g. metal/wood/concrete)"
"Pelvetia canaliculata",Bedrock
"Pelvetia canaliculata","Large to very large boulders"
"Pelvetia canaliculata","Small boulders"
"Pelvetia canaliculata",Cobbles
"Phymatolithon calcareum",Pebbles
"Phymatolithon calcareum","Gravel / shingle"
"Phymatolithon calcareum",Maerl
"Phymatolithon calcareum","Muddy gravel"
"Phymatolithon calcareum","Coarse clean sand"
"Phymatolithon calcareum","Fine clean sand"
"Phymatolithon calcareum","Sandy mud"
"Phymatolithon calcareum","Muddy sand"
"Phymatolithon calcareum",Mud
"Phymatolithon calcareum",Mixed
"Pisidia longicornis","Large to very large boulders"
"Pisidia longicornis","Small boulders"
"Pomatoschistus microps","Coarse clean sand"
"Pomatoschistus microps","Fine clean sand"
"Pomatoschistus microps","Sandy mud"
"Pomatoschistus microps","Muddy sand"
"Pomatoschistus microps",Mud
"Pomatoschistus microps",Mixed
"Pomatoschistus microps",Rockpools
"Pomatoschistus microps",Pebbles
"Pomatoschistus microps","Gravel / shingle"
"Pomatoschistus minutus","Coarse clean sand"
"Pomatoschistus minutus","Fine clean sand"
"Pomatoschistus minutus","Sandy mud"
"Pomatoschistus minutus","Muddy sand"
"Pomatoschistus minutus",Mud
"Pomatoschistus minutus",Mixed
"Psammechinus miliaris",Bedrock
"Psammechinus miliaris","Small boulders"
"Psammechinus miliaris","Gravel / shingle"
"Psammechinus miliaris","Muddy sand"
"Psammechinus miliaris",Algae
"Psammechinus miliaris",Rockpools
"Rhodothamniella floridula",Bedrock
"Rhodothamniella floridula","Large to very large boulders"
"Rhodothamniella floridula","Small boulders"
"Rhodothamniella floridula",Rockpools
"Protanthea simplex",Bedrock
"Protanthea simplex","Biogenic reef"
"Protanthea simplex","Large to very large boulders"
"Protanthea simplex","Small boulders"
"Sabellaria alveolata",Bedrock
"Sabellaria alveolata","Large to very large boulders"
"Sabellaria alveolata","Small boulders"
"Sabellaria alveolata",Cobbles
"Sabellaria alveolata",Pebbles
"Sabellaria spinulosa",Bedrock
"Sabellaria spinulosa","Large to very large boulders"
"Saccorhiza polyschides",Bedrock
"Saccorhiza polyschides","Large to very large boulders"
"Saccorhiza polyschides","Small boulders"
"Saccorhiza polyschides",Cobbles
"Saccorhiza polyschides",Pebbles
"Asterina gibbosa","Coarse clean sand"
"Ulva intestinalis","Small boulders"
"Ulva intestinalis",Cobbles
"Ulva intestinalis",Bedrock
"Sabellaria spinulosa","Small boulders"
"Semibalanus balanoides",Bedrock
"Semibalanus balanoides","Large to very large boulders"
"Semibalanus balanoides","Small boulders"
"Semibalanus balanoides",Cobbles
"Semibalanus balanoides",Pebbles
"Semibalanus balanoides","Artificial (e.g. metal/wood/concrete)"
"Serpula vermicularis","Artificial (e.g. metal/wood/concrete)"
"Serpula vermicularis",Bedrock
"Serpula vermicularis","Biogenic reef"
"Serpula vermicularis","Large to very large boulders"
"Serpula vermicularis","Small boulders"
"Serpula vermicularis",Pebbles
"Serpula vermicularis",Cobbles
"Thieliana navis",Algae
"Truncatella subcylindrica",Mud
"Ulva intestinalis","Large to very large boulders"
"Ulva intestinalis","Muddy sand"
"Victorella pavida","Artificial (e.g. metal/wood/concrete)"
"Victorella pavida","Other species (see additional information)"
"Zostera marina","Gravel / shingle"
"Zostera marina","Muddy gravel"
"Zostera marina","Sandy mud"
"Zostera marina","Muddy sand"
"Zostera noltii","Sandy mud"
"Zostera noltii","Muddy sand"
"Zostera noltii",Mud
"Venerupis senegalensis","Coarse clean sand"
"Victorella pavida",Mixed
"Chaetopterus variopedatus","Gravel / shingle"
"Lithothamnion corallioides","Muddy sand"
"Littorina littorea","Salt marsh"
"Mytilus edulis",Rockpools
"Asterina gibbosa","Biogenic reef"
"Asterina gibbosa",Mixed
"Chaetopterus variopedatus",Cobbles
"Lithothamnion corallioides",Mud
"Lithothamnion corallioides",Mixed
"Sabellaria spinulosa",Cobbles
"Metridium senile",Overhangs
"Modiolus modiolus","Under boulders"
"Molgula manhattensis",Cobbles
"Chaetopterus variopedatus",Pebbles
"Mytilus edulis","Biogenic reef"
"Ampelisca brevicornis","Muddy gravel"
"Mytilus edulis","Artificial (e.g. metal/wood/concrete)"
"Mytilus edulis",Mixed
"Mytilus edulis","Muddy sand"
"Pholas dactylus","Artificial (e.g. metal/wood/concrete)"
"Corbula gibba","Gravel / shingle"
"Eunicella verrucosa","Large to very large boulders"
"Armandia cirrhosa","Muddy sand"
"Atrina fragilis","Coarse clean sand"
"Asterina gibbosa","Crevices / fissures"
"Conopeum reticulum",Algae
"Conopeum reticulum","Artificial (e.g. metal/wood/concrete)"
"Conopeum reticulum",Bedrock
"Conopeum reticulum",Caves
"Conopeum reticulum",Cobbles
"Conopeum reticulum","Large to very large boulders"
"Conopeum reticulum","Other species (see additional information)"
"Conopeum reticulum",Overhangs
"Asterina gibbosa","Artificial (e.g. metal/wood/concrete)"
"Conopeum reticulum",Pebbles
