SpeciesName,devmech
"Ampelisca spinipes","Direct Development"
"Ampelisca tenuicornis","Direct Development"
"Aporrhais pespelecani",Planktotrophic
"Astarte sulcata",Planktotrophic
"Bathyporeia elegans","Direct Development"
"Chaetopterus variopedatus",Planktotrophic
"Chaetozone setosa",Lecithotrophic
"Mysella bidentata",Planktotrophic
"Mysella bidentata",Lecithotrophic
"Scoloplos armiger",Lecithotrophic
"Scoloplos armiger","Direct Development"
"Echinocyamus pusillus",Planktotrophic
"Amphipholis squamata","Direct Development"
"Amphipholis squamata",Brooding
"Iphinoe trispinosa","Direct Development"
"Iphinoe trispinosa",Brooding
"Maerella tenuimana",Brooding
"Ditrupa arietina",Planktotrophic
"Corystes cassivelaunus",Planktotrophic
"Corystes cassivelaunus",Brooding
"Liocarcinus holsatus",Planktotrophic
"Acanthocardia echinata",Planktotrophic
"Buccinum undatum","Direct Development"
"Colus gracilis","Direct Development"
"Colus gracilis",Brooding
"Neptunea antiqua",Oviparous
"Crossaster papposus",Planktotrophic
"Crossaster papposus","Direct Development"
"Abra nitida",Planktotrophic
"Abra tenuis","Direct Development"
"Ampharete acutifrons","Direct Development"
"Ampharete falcata","Direct Development"
"Bathyporeia guilliamsoniana","Direct Development"
"Calocaris macandreae","Direct Development"
"Diastylis lucifera","Direct Development"
"Diastylis rathkei","Direct Development"
"Eteone longa",Planktotrophic
"Glycera alba",Planktotrophic
"Glycera rouxi",Planktotrophic
"Laonice cirrata",Planktotrophic
"Melinna cristata",Lecithotrophic
"Montacuta ferruginosa",Planktotrophic
"Nephtys caeca",Planktotrophic
"Nephtys incisa",Planktotrophic
"Notomastus latericeus",Lecithotrophic
"Ennucula tenuis",Lecithotrophic
"Pectinaria koreni",Planktotrophic
"Perioculodes longimanus","Direct Development"
"Phoronis muelleri",Planktotrophic
"Poecilochaetus serpens",Planktotrophic
"Prionospio cirrifera",Planktotrophic
"Prionospio malmgreni",Planktotrophic
"Sphaerosyllis hystrix","Direct Development"
"Tellina tenuis",Planktotrophic
"Gammarus chevreuxi",Brooding
"Amaeana spp.",Lecithotrophic
"Polycirrus spp.",Lecithotrophic
"Leptosynapta spp.","Viviparous (No Care)"
"Leptosynapta spp.",Brooding
"Leptosynapta spp.","Direct Development"
"Pisidia spp.",Planktotrophic
"Pisidia spp.",Brooding
"Pisione remota",Planktotrophic
"Spio martinensis",Planktotrophic
"Malacoceros fuliginosus",Planktotrophic
"Pygospio elegans",Planktotrophic
"Pygospio elegans",Lecithotrophic
"Pygospio elegans","Direct Development"
"Polydora spp.",Planktotrophic
"Polydora spp.","Direct Development"
"Magelona spp.",Planktotrophic
"Thelepus spp.",Lecithotrophic
"Thelepus spp.",Brooding
"Ensis spp.",Planktotrophic
"Galathea spp.",Brooding
"Galathea spp.",Planktotrophic
"Balanus spp.",Planktotrophic
"Macropodia spp.",Planktotrophic
"Spatangus purpureus",Planktotrophic
