SpeciesName,feedingmethod
"Ophiura albida","Surface deposit feeder"
"Ophiura albida","Sub-surface deposit feeder"
"Phaxas pellucidus","Passive suspension feeder"
"Phaxas pellucidus","Active suspension feeder"
"Scoloplos armiger","Surface deposit feeder"
"Scoloplos armiger","Sub-surface deposit feeder"
"Dendrodoa grossularia","Passive suspension feeder"
"Dendrodoa grossularia","Active suspension feeder"
"Echinocyamus pusillus","Surface deposit feeder"
"Echinocyamus pusillus","Sub-surface deposit feeder"
"Iphinoe trispinosa","Surface deposit feeder"
"Iphinoe trispinosa","Sub-surface deposit feeder"
"Ditrupa arietina","Passive suspension feeder"
"Ditrupa arietina","Active suspension feeder"
"Corystes cassivelaunus",Predator
"Corystes cassivelaunus",Scavenger
"Liocarcinus holsatus",Predator
"Liocarcinus holsatus",Scavenger
"Acanthocardia echinata","Passive suspension feeder"
"Acanthocardia echinata","Active suspension feeder"
"Turritella communis","Passive suspension feeder"
"Turritella communis","Active suspension feeder"
"Turritella communis","Surface deposit feeder"
"Turritella communis","Sub-surface deposit feeder"
"Buccinum undatum",Predator
"Buccinum undatum",Scavenger
"Colus gracilis",Predator
"Colus gracilis",Scavenger
"Neptunea antiqua",Predator
"Neptunea antiqua",Scavenger
"Ophiura ophiura",Predator
"Ophiura ophiura",Scavenger
"Spatangus purpureus","Surface deposit feeder"
"Spatangus purpureus","Sub-surface deposit feeder"
"Crossaster papposus",Predator
"Crossaster papposus",Scavenger
"Abludomelita obtusata","Surface deposit feeder"
"Abludomelita obtusata","Sub-surface deposit feeder"
"Abra nitida","Passive suspension feeder"
"Abra nitida","Active suspension feeder"
"Abra nitida","Surface deposit feeder"
"Abra nitida","Sub-surface deposit feeder"
"Abra prismatica","Passive suspension feeder"
"Abra prismatica","Active suspension feeder"
"Abra prismatica","Surface deposit feeder"
"Abra prismatica","Sub-surface deposit feeder"
"Abra tenuis","Passive suspension feeder"
"Abra tenuis","Active suspension feeder"
"Abra tenuis","Surface deposit feeder"
"Abra tenuis","Sub-surface deposit feeder"
"Ampelisca macrocephala","Passive suspension feeder"
"Ampelisca macrocephala","Active suspension feeder"
"Ampharete acutifrons","Surface deposit feeder"
"Ampharete acutifrons","Sub-surface deposit feeder"
"Ampharete falcata","Passive suspension feeder"
"Ampharete falcata","Active suspension feeder"
"Ampharete falcata","Surface deposit feeder"
"Ampharete falcata","Sub-surface deposit feeder"
"Amphicteis gunneri","Surface deposit feeder"
"Amphicteis gunneri","Sub-surface deposit feeder"
"Anomia ephippium","Passive suspension feeder"
"Anomia ephippium","Active suspension feeder"
"Anoplodactylus petiolatus",Predator
"Anoplodactylus petiolatus",Scavenger
"Aonides paucibranchiata","Surface deposit feeder"
"Aonides paucibranchiata","Sub-surface deposit feeder"
"Azorinus chamasolen","Passive suspension feeder"
"Azorinus chamasolen","Active suspension feeder"
"Bathyporeia guilliamsoniana","Surface deposit feeder"
"Bathyporeia guilliamsoniana","Sub-surface deposit feeder"
"Bathyporeia pilosa","Surface deposit feeder"
"Bathyporeia pilosa","Sub-surface deposit feeder"
"Bathyporeia sarsi","Surface deposit feeder"
"Bathyporeia sarsi","Sub-surface deposit feeder"
"Bathyporeia tenuipes","Surface deposit feeder"
"Bathyporeia tenuipes","Sub-surface deposit feeder"
"Bodotria scorpioides","Surface deposit feeder"
"Bodotria scorpioides","Sub-surface deposit feeder"
"Branchiostoma lanceolatum","Passive suspension feeder"
"Branchiostoma lanceolatum","Active suspension feeder"
"Caprella linearis",Predator
"Caprella linearis",Scavenger
"Capulus ungaricus","Passive suspension feeder"
"Capulus ungaricus","Active suspension feeder"
"Ceratocephale loveni","Surface deposit feeder"
"Ceratocephale loveni","Sub-surface deposit feeder"
"Chamelea gallina","Passive suspension feeder"
"Chamelea gallina","Active suspension feeder"
