AphiaID,Species,Phylum,Class,Order,Family,Genus
101928,Ampelisca spinipes,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
123106,NA,Echinodermata,Echinoidea,Spatangoida,NA,NA
118995,Gnathia oxyuraea,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia
867492,Hermania scabra,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania
130360,Nephtys hystricis,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys
147032,Nebalia bipes,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Nebalia
152254,Pista bansei,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
101361,NA,Arthropoda,Malacostraca,Amphipoda,Caprellidae,NA
102968,Harpinia laevis,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia
110476,Diastylis echinata,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis
101941,Byblis erythrops,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Byblis
506600,Ennucula convexa,Mollusca,Bivalvia,Nuculida,Nuculidae,Ennucula
101939,Byblis affinis,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Byblis
137826,NA,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Oenopota
110627,Pseudocuma (Pseudocuma) longicorne,Arthropoda,Malacostraca,Cumacea,Pseudocumatidae,Pseudocuma
131069,Neoleanira tetragona,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Neoleanira
130080,Euphrosine armadillo,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine
138920,Neptunea antiqua,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea
111120,Palmiskenea skenei,Bryozoa,Gymnolaemata,Cheilostomatida,Bryocryptellidae,Palmiskenea
110510,Hemilamprops assimilis,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops
110511,Hemilamprops cristatus,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops
130986,Chitinopoma serrula,Annelida,Polychaeta,Sabellida,Serpulidae,Chitinopoma
892,NA,Annelida,Polychaeta,Phyllodocida,NA,NA
129366,NA,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus
140197,Leptochiton alveolus,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton
118984,Caecognathia robusta,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Caecognathia
129771,Amage auricula,Annelida,Polychaeta,Terebellida,Ampharetidae,Amage
111281,Omalosecosa ramulosa,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Omalosecosa
117702,Lafoea dumosa,Cnidaria,Hydrozoa,Leptothecata,Lafoeidae,Lafoea
125057,Amphilepis norvegica,Echinodermata,Ophiuroidea,Amphilepidida,Amphilepididae,Amphilepis
110515,Hemilamprops uniplicatus,Arthropoda,Malacostraca,Cumacea,Lampropidae,Hemilamprops
104056,Terebratulina septentrionalis,Brachiopoda,Rhynchonellata,Terebratulida,Cancellothyrididae,Terebratulina
467891,NA,Bryozoa,Stenolaemata,Cyclostomatida,Stigmatoechidae,NA
129938,Aphelochaeta marioni,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta
131415,Syllis armillaris,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis
111147,Bicellariella ciliata,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bicellariella
111032,NA,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia
913,NA,Annelida,Polychaeta,Spionida,Spionidae,NA
868065,Pista maculata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
141251,Alvania testae,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania
