name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Fucus serratus	145546	exact	Fucus serratus	145546	Fucus serratus	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		serratus	
Fucus spiralis	145547	exact	Fucus spiralis	145547	Fucus spiralis	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		spiralis	
Fucus vesiculosus	145548	exact	Fucus vesiculosus	145548	Fucus vesiculosus	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Fucus		vesiculosus	
Funiculina quadrangularis	128506	exact	Funiculina quadrangularis	128506	Funiculina quadrangularis	Animalia	Cnidaria	Anthozoa	Pennatulacea	Funiculinidae	Funiculina		quadrangularis	
Furcellaria lumbricalis	145620	exact	Furcellaria lumbricalis	145620	Furcellaria lumbricalis	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Furcellariaceae	Furcellaria		lumbricalis	
Galathea spp.	106834	exact	Galathea	106834	Galathea	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Galathea			
Gammarus chevreuxi	102274	exact	Gammarus chevreuxi	102274	Gammarus chevreuxi	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus		chevreuxi	
Gammarus insensibilis	102280	exact	Gammarus insensibilis	102280	Gammarus insensibilis	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus		insensibilis	
Gammarus salinus	102292	exact	Gammarus salinus	102292	Gammarus salinus	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus		salinus	
Gastrosaccus spp.	119859	exact	Gastrosaccus	119859	Gastrosaccus	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Gastrosaccus			
Glycymeris spp.	138035	exact	Glycymeris	138035	Glycymeris	Animalia	Mollusca	Bivalvia	Arcida	Glycymerididae	Glycymeris			
Gobius cobitis	126886	exact	Gobius cobitis	126886	Gobius cobitis	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Gobius		cobitis	
Gobius couchi	126887	exact	Gobius couchi	126887	Gobius couchi	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Gobius		couchi	
Halichondria bowerbanki	132588	exact	Halichondria bowerbanki	165801	Halichondria (Halichondria) bowerbanki	Animalia	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria		bowerbanki	
Halichondria panicea	132627	exact	Halichondria panicea	165853	Halichondria (Halichondria) panicea	Animalia	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria		panicea	
